GENSPECIES,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TOLERANCE,FEEDINGHAB,NBI-P_TOLERANCE,NBI-N_TOLERANCE
Prosimulium clandestinum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,2,CF,,
Prosimulium fuscum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,2,CF,,
Prosimulium magnum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,1,CF,,
Prosimulium rhizophorum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,2,CF,,
Prosimulium sp.,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,2,CF,,
Simulium aureum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,7,CF,,
Simulium decorum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,7,CF,,
Simulium fibrinflatum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,6,CF,,
Simulium gouldingi,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,3,CF,,
Simulium jenningsi,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,4,CF,6,2
Simulium latipes,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,4,CF,,
Simulium parnassum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,7,CF,,
Simulium pictipes,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,4,CF,,
Simulium rugglesi,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,5,CF,,
Simulium tuberosum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,4,CF,1,0
Simulium venustum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,5,CF,,
Simulium vittatum,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,7,CF,7,10
Simulium sp.,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,5,CF,7,6
Stegopterna sp.,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,1,CF,,
Undetermined Simuliidae,ARTHROPODA,INSECTA,DIPTERA,Simuliidae,,5,CF,,
Protoplasa fitchii,ARTHROPODA,INSECTA,DIPTERA,Tanyderidae,,3,CG,,
Chrysops sp.,ARTHROPODA,INSECTA,DIPTERA,Tabanidae,,5,CG,,
Hybomitra sp.,ARTHROPODA,INSECTA,DIPTERA,Tabanidae,,5,PR,,
Tabanus sp.,ARTHROPODA,INSECTA,DIPTERA,Tabanidae,,5,PR,,
Undetermined Tabanidae,ARTHROPODA,INSECTA,DIPTERA,Tabanidae,,5,PR,,
Atherix sp.,ARTHROPODA,INSECTA,DIPTERA,Athericidae,,4,PR,8,5
Undetermined Athericidae,ARTHROPODA,INSECTA,DIPTERA,Athericidae,,4,PR,,
Euparyphus sp.,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,CG,,
Nemotelus sp.,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,CG,,
Stratiomys sp.,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,CG,,
Undetermined Stratiomyidae,ARTHROPODA,INSECTA,DIPTERA,Stratiomyidae,,7,CG,,
Chelifera sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,,
Clinocera sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,,
Hemerodromia sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,5,6
Neoplasta sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,,
Oreogeton sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,,
Wiedemannia sp.,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,,
Undetermined Empididae,ARTHROPODA,INSECTA,DIPTERA,Empididae,,6,PR,,
Undetermined Dolichopodidae,ARTHROPODA,INSECTA,DIPTERA,Dolichopodidae,,4,PR,,
Eristalis sp.,ARTHROPODA,INSECTA,DIPTERA,Syrphidae,,10,CG,,
Undetermined Syrphidae,ARTHROPODA,INSECTA,DIPTERA,Syrphidae,,10,CG,,
Dimecoenia spinosa,ARTHROPODA,INSECTA,DIPTERA,Ephydridae,,6,SH,,
Ephydra sp.,ARTHROPODA,INSECTA,DIPTERA,Ephydridae,,8,SH,,
Hydrellia sp.,ARTHROPODA,INSECTA,DIPTERA,Ephydridae,,6,SH,,
