Phylum,Class,Order,Family,Genus,FFG,TV,MBSS UTV,MACS TV,Habitat
Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,SH,,3.4,4,CL
Arthropoda,Arachnida,Acari,Hydryphantidae,Pseudohydryphantes,P,,,,SW
Arthropoda,Insecta,Diptera,Culicidae,Aedes,F,,8,8,SW
Arthropoda,Insecta,Trichoptera,Leptoceridae,Triaenodes,SH,,5,6,SW
Arthropoda,Arachnida,Acari,Arrenuridae,Arrenurus,P,,,,SW
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Laccobius,,,,,
Arthropoda,Insecta,Diptera,Tipulidae,Pedicia,P,,4.8,,BU
Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,SiphlonuridaeG,CG,,7,,SW
Arthropoda,Insecta,Diptera,Ptychopteridae,Bittacomorpha,CG,,4,,BU
Arthropoda,Insecta,Coleoptera,Dytiscidae,Laccophilus,P,,5.4,5,SW
Arthropoda,Insecta,Odonata,Corduliidae,Neurocordulia,P,,2,,SP
Arthropoda,Insecta,Odonata,Gomphidae,Erpetogomphus,P,,2.2,,BU
Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Oemopteryx,SH,,4.8,,SP
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Parapsyche,F,4,5.7,,CG
Arthropoda,Arachnida,Acari,Pionidae,Forelia,,,,,
Arthropoda,Insecta,Odonata,Calopterygidae,CalopterygidaeG,P,,,5,CL
Arthropoda,Insecta,Plecoptera,Chloroperlidae,Haploperla,P,,1.6,,CG
Arthropoda,Insecta,Plecoptera,Chloroperlidae,Sweltsa,P,,1.9,,CG
Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,SH,0,0.4,0,CG
Arthropoda,Insecta,Plecoptera,Leuctridae,Zealeuctra,SH,,0.8,,SP
Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,SH,3,3,,SP
Arthropoda,Insecta,Plecoptera,Nemouridae,Nemoura,SH,,2.9,,SP
Arthropoda,Insecta,Plecoptera,Nemouridae,Podmosta,,,2.9,,
Arthropoda,Insecta,Plecoptera,Nemouridae,Prostoia,SH,,4.5,,SP
Arthropoda,Insecta,Plecoptera,Nemouridae,Shipsa,SH,,2.9,,SP
Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,P,0,2.5,0,CG
Arthropoda,Insecta,Plecoptera,Perlidae,Perlesta,P,1,1.6,,CG
Arthropoda,Insecta,Plecoptera,Perlidae,Perlinella,P,1,1.6,,CG
Arthropoda,Insecta,Plecoptera,Perlodidae,Diploperla,P,2,2.2,,CG
Arthropoda,Insecta,Plecoptera,Perlodidae,Diura,P,2,2.2,,CG
Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,P,2,2.4,2,CG
Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Strophopteryx,SH,3,3.3,,SP
Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Taeniopteryx,SH,2,4.8,2,SP
Arthropoda,Insecta,Trichoptera,Brachycentridae,Micrasema,SH,2,2.3,2,CG
Arthropoda,Insecta,Trichoptera,Calamoceratidae,Ansiocentropus,,2,,2,SP
Arthropoda,Insecta,Trichoptera,Glossosomatidae,Agapetus,SC,,2,,CG
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,F,5,6.5,5,CG
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Diplectrona,F,0,2.7,0,CG
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,F,4,7.5,4,CG
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,,5,4,,
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Hydroptila,SC,6,6,6,CG
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Ochrotrichia,SC,,4,,CG
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Stactobiella,,,4,,
Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,SH,1,0,1,CL
Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,CG,3,4.1,3,SP
Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,P,8,4.7,8,CG
Arthropoda,Insecta,Trichoptera,Limnephilidae,Apatania,SH,4,3.4,4,CL
Arthropoda,Insecta,Trichoptera,Limnephilidae,Chyranda,SH,4,3.4,4,CL
Arthropoda,Insecta,Trichoptera,Limnephilidae,Lenarchus,SH,4,3.4,4,CL
Arthropoda,Insecta,Trichoptera,Limnephilidae,Pycnopsyche,SH,4,3.1,4,SP
Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,F,4,4.4,4,CG
Arthropoda,Insecta,Trichoptera,Philopotamidae,Dolophilodes,F,3,1.7,3,CG
Arthropoda,Arachnida,Acari,Hygrobatidae,Hygrobates,P,,,,SW
Arthropoda,Arachnida,Acari,Lebertiidae,Lebertia,P,,,,SW
Arthropoda,Arachnida,Acari,Limnesiidae,Limnesia,P,,,,SW
Arthropoda,Arachnida,Acari,Mideopsidae,Mideopsis,P,,,,SW
Arthropoda,Arachnida,Acari,Sperchonidae,Sperchon,P,,,,SW
Arthropoda,Arachnida,Acari,Torrenticolidae,Torrenticola,P,,,,SW
Arthropoda,Arachnida,Acari,Unionicolidae,Neumania,P,,,,SW
Mollusca,Gastropoda,Limnophila,Ancylidae,Ferrissia,SC,7,7,7,CL
Mollusca,Gastropoda,Limnophila,Lymnaeidae,Fossaria,SC,6,6.9,6,CL
Mollusca,Gastropoda,Limnophila,Lymnaeidae,Pseudosuccinea,CG,6,6.3,6,CL
Mollusca,Gastropoda,Limnophila,Physidae,Physella,SC,,7,,CL
Mollusca,Gastropoda,Limnophila,Planorbidae,Helisoma,SC,7,7.6,7,CL
Mollusca,Gastropoda,Limnophila,Planorbidae,Menetus,SC,6,7.6,6,CL
Mollusca,Gastropoda,Limnophila,Planorbidae,Planorbella,SC,6,7.6,6,CL
Mollusca,Gastropoda,Limnophila,Planorbidae,Gyraulus,SC,7,7.6,7,CL
Mollusca,Gastropoda,Mesogastropoda,Hydrobiidae,Amnicola,SC,8,8,8,CL
Mollusca,Gastropoda,Mesogastropoda,Valvatidae,Valvata,,,9,,
Mollusca,Gastropoda,Mesogastropoda,Viviparidae,Viviparus,SC,,1,,CL
Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,Pisidium,F,8,5.7,,BU
Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,Sphaerium,F,8,5.5,,BU
Mollusca,Bivalvia,Pelecypoda,Corbiculidae,Corbicula,F,4,6,,BU
Platyhelminthes,Turbellaria,Macrostomida,Macrostomidae,Macrostomum,,,,,
Platyhelminthes,Turbellaria,Tricladida,Planariidae,Cura,,,6.5,,
Platyhelminthes,Turbellaria,Tricladida,Planariidae,Hymanella,,,8.4,,
Platyhelminthes,Turbellaria,Tricladida,Planariidae,Phagocata,,,8.4,,
Coelenterata,Hydrozoa,Hydroida,Hydridae,Hydra,,3,,,
Annelida,Oligochaeta,,OligochaetaF,OligochaetaG,CG,8,10,10,
Annelida,Hirudinea,Pharyngobdellida,Erpobdellidae,Mooreobdella,,,,,SP
Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,Helobdella,,,6,,SP
Annelida,Hirudinea,Rhynchobdellida,Piscicolidae,Myzobdella,,,,,SP
Nematomorpha,,,NematomorphaF,NematomorphaG,,,,,BU
Arthropoda,Insecta,Diptera,Chironomidae,ChironomidaeG,,6,6.6,6,
Arthropoda,Insecta,Odonata,Gomphidae,GomphidaeG,P,1,2.2,1,BU
Arthropoda,Insecta,Odonata,Aeshnidae,AeshnidaeG,P,3,6.2,3,CL
Arthropoda,Insecta,Odonata,Corduliidae,CorduliidaeG,P,5,2,5,SP
Arthropoda,Insecta,Odonata,Libellulidae,LibellulidaeG,P,9,9,9,SP
Arthropoda,Insecta,Diptera,Ceratopogonidae,CeratopogonidaeG,P,,3.6,,SP
Arthropoda,Insecta,Diptera,Empididae,EmpididaeG,P,,7.5,,SP
Arthropoda,Insecta,Diptera,Tipulidae,TipulidaeG,P,3,4.8,3,BU
Arthropoda,Insecta,Diptera,Tabanidae,TabanidaeG,P,,2.8,,
Arthropoda,Insecta,Plecoptera,Chloroperlidae,ChloroperlidaeG,P,,1.6,,CG
Arthropoda,Insecta,Coleoptera,Elmidae,ElmidaeG,CG,,4.8,,CG
Mollusca,Gastropoda,Limnophila,Planorbidae,PlanorbidaeG,SC,6,7.6,6,CL
Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,SphaeriidaeG,F,8,6.5,,BU
Platyhelminthes,Turbellaria,,TurbellariaF,TurbellariaG,,,4,,
Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,CG,4,4.9,4,SW
Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,CG,6,3.9,6,SW
Arthropoda,Insecta,Ephemeroptera,Baetidae,Fallceon,,4,2.3,,
Arthropoda,Insecta,Ephemeroptera,Baetidae,Paracloeodes,CG,4,2.3,,SW
Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,CG,7,2.1,7,SP
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Attenella,CG,,2.6,,
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,CG,2,2.3,,CG
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,SC,4,4.5,4,CG
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,CG,2,2.8,2,CG
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Timpanoga,CG,,2.6,,SP
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,SC,4,1.7,,CG
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,CG,4,2,4,CG
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,SC,3,4.6,3,CG
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebia,CG,,1.7,,SW
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Habrophlebiodes,CG,,1.7,,SW
Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,CG,1,2,1,SW
Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,F,2,2.5,2,SW
Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,CG,,2.6,,SW
Arthropoda,Insecta,Odonata,Aeshnidae,Boyeria,P,2,6.3,2,CL
Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,P,6,8.3,6,CL
Arthropoda,Insecta,Odonata,Calopterygidae,Hetaerina,P,5,,,CL
Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,P,6,9.3,6,CG
Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,P,8,9,8,CL
Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,P,9,9,9,CL
Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster,P,3,2.4,3,BU
Arthropoda,Insecta,Odonata,Gomphidae,Dromogomphus,P,,2.2,,BU
Arthropoda,Insecta,Odonata,Gomphidae,Gomphus,P,5,2.2,5,BU
Arthropoda,Insecta,Odonata,Gomphidae,Lanthus,P,1,1.1,,BU
Arthropoda,Insecta,Odonata,Gomphidae,Stylogomphus,P,1,2.2,,BU
Arthropoda,Insecta,Odonata,Gomphidae,Stylurus,P,1,2.2,,SP
Arthropoda,Insecta,Collembola,Sminthuridae,Sminthurides,,,,,
Arthropoda,Insecta,Collembola,Poduridae,Podura,,,,,
Mollusca,Bivalvia,,BivalviaF,BivalviaG,,,,,BU
Arthropoda,Insecta,Odonata,Coenagrionidae,CoenagrionidaeG,P,,9,9,CL
Arthropoda,Insecta,Collembola,CollembolaF,CollembolaG,,,6,,
Arthropoda,Insecta,Trichoptera,Philopotamidae,Wormaldia,F,3,1.8,3,CG
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,HeptageniidaeG,SC,4,2.6,4,CG
Arthropoda,Insecta,Trichoptera,Hydropsychidae,HydropsychidaeG,F,4,5.7,4,CG
